from,to,0
New York Yankees,Miami Marlins,1
New York Yankees,Milwaukee Brewers,3
New York Yankees,Minnesota Twins,3
New York Yankees,New York Mets,1
New York Yankees,Philadelphia Phillies,1
New York Yankees,San Francisco Giants,2
New York Yankees,Seattle Mariners,6
New York Yankees,St. Louis Cardinals,2
New York Yankees,Tampa Bay Rays,1
New York Yankees,Toronto Blue Jays,2
Oakland Athletics,Atlanta Braves,1
Oakland Athletics,Chicago Cubs,2
Oakland Athletics,Chicago White Sox,1
Oakland Athletics,Detroit Tigers,2
Oakland Athletics,Kansas City Royals,5
Oakland Athletics,Los Angeles Dodgers,1
Oakland Athletics,Minnesota Twins,1
Oakland Athletics,New York Mets,2
Oakland Athletics,New York Yankees,1
Oakland Athletics,Pittsburgh Pirates,1
Oakland Athletics,St. Louis Cardinals,1
Oakland Athletics,Tampa Bay Rays,2
Oakland Athletics,Texas Rangers,3
Oakland Athletics,Toronto Blue Jays,2
Philadelphia Phillies,Baltimore Orioles,4
Philadelphia Phillies,Chicago White Sox,2
Philadelphia Phillies,Cincinnati Reds,1
Philadelphia Phillies,Colorado Rockies,1
Philadelphia Phillies,Los Angeles Angels,1
Philadelphia Phillies,Miami Marlins,4
Philadelphia Phillies,New York Mets,1
Philadelphia Phillies,Seattle Mariners,3
Philadelphia Phillies,St. Louis Cardinals,1
Philadelphia Phillies,Tampa Bay Rays,2
Philadelphia Phillies,Texas Rangers,1
Philadelphia Phillies,Toronto Blue Jays,1
Pittsburgh Pirates,Atlanta Braves,1
Pittsburgh Pirates,Baltimore Orioles,2
Pittsburgh Pirates,Chicago White Sox,2
Pittsburgh Pirates,Cleveland Indians,3
Pittsburgh Pirates,Detroit Tigers,1
Pittsburgh Pirates,Los Angeles Angels,1
Pittsburgh Pirates,Los Angeles Dodgers,1
Pittsburgh Pirates,Miami Marlins,1
Pittsburgh Pirates,Milwaukee Brewers,1
Pittsburgh Pirates,New York Mets,1
Pittsburgh Pirates,New York Yankees,2
Pittsburgh Pirates,Oakland Athletics,1
Pittsburgh Pirates,Philadelphia Phillies,1
Pittsburgh Pirates,San Francisco Giants,1
Pittsburgh Pirates,Tampa Bay Rays,6
Pittsburgh Pirates,Texas Rangers,2
Pittsburgh Pirates,Toronto Blue Jays,2
San Diego Padres,Atlanta Braves,1
San Diego Padres,Boston Red Sox,1
San Diego Padres,Chicago Cubs,2
San Diego Padres,Cincinnati Reds,1
San Diego Padres,Cleveland Indians,7
San Diego Padres,Milwaukee Brewers,2
San Diego Padres,Philadelphia Phillies,1
San Diego Padres,Pittsburgh Pirates,1
San Diego Padres,San Francisco Giants,1
San Diego Padres,Seattle Mariners,1
